iter	Passed	Remaining
0	196	393789
1	239	239485
2	284	189382
3	328	163750
4	375	149633
5	423	140767
6	466	132686
7	508	126731
8	556	123174
9	603	120103
10	647	117027
11	691	114621
12	740	113240
13	746	105832
14	794	105103
15	839	104105
16	888	103605
17	935	102973
18	984	102688
19	1028	101773
20	1076	101460
21	1137	102285
22	1193	102555
23	1241	102221
24	1287	101712
25	1333	101208
26	1380	100892
27	1430	100732
28	1492	101438
29	1596	104864
30	1649	104750
31	1697	104404
32	1747	104137
33	1794	103783
34	1842	103440
35	1890	103154
36	1939	102883
37	1987	102596
38	2037	102460
39	2086	102226
40	2132	101877
41	2181	101685
42	2229	101485
43	2276	101190
44	2321	100852
45	2370	100693
46	2421	100627
47	2476	100698
48	2525	100565
49	2571	100275
50	2623	100243
51	2678	100353
52	2731	100360
53	2783	100293
54	2828	100029
55	2877	99883
56	2926	99760
57	2976	99649
58	3022	99442
59	3070	99273
60	3119	99154
61	3172	99160
62	3227	99238
63	3286	99426
64	3338	99380
65	3387	99274
66	3438	99190
67	3490	99173
68	3540	99094
69	3595	99143
70	3650	99180
71	3705	99214
72	3755	99142
73	3807	99109
74	3864	99193
75	3919	99236
76	3970	99150
77	4019	99047
78	4071	99014
79	4129	99101
80	4184	99139
81	4240	99180
82	4296	99244
83	4355	99347
84	4411	99398
85	4465	99385
86	4522	99445
87	4573	99363
88	4631	99452
89	4682	99381
90	4741	99468
91	4801	99582
92	4858	99629
93	4918	99737
94	4978	99836
95	5036	99895
96	5095	99957
97	5153	100015
98	5212	100098
99	5275	100238
100	5342	100458
101	5411	100691
102	5478	100891
103	5540	101003
104	5606	101181
105	5661	101154
106	5719	101180
107	5779	101239
108	5830	101154
109	5883	101082
110	5934	100989
111	5985	100894
112	6035	100788
113	6085	100683
114	6136	100582
115	6190	100544
116	6239	100422
117	6291	100343
118	6345	100297
119	6395	100192
120	6446	100104
121	6499	100055
122	6554	100029
123	6613	100054
124	6671	100075
125	6726	100045
126	6781	100010
127	6830	99901
128	6887	99900
129	6937	99798
130	6992	99758
131	7042	99660
132	7094	99595
133	7148	99546
134	7203	99513
135	7257	99466
136	7306	99353
137	7353	99214
138	7405	99148
139	7456	99069
140	7508	98991
141	7555	98863
142	7603	98738
143	7655	98669
144	7705	98579
145	7756	98501
146	7808	98430
147	7857	98328
148	7907	98232
149	7958	98158
150	8008	98067
151	8057	97968
152	8111	97919
153	8163	97861
154	8217	97810
155	8265	97705
156	8320	97670
157	8378	97674
158	8433	97643
159	8486	97599
160	8543	97584
161	8602	97601
162	8657	97567
163	8717	97589
164	8768	97513
165	8822	97470
166	8873	97399
167	8923	97311
168	8973	97217
169	9022	97129
170	9072	97041
171	9127	97001
172	9181	96962
173	9234	96907
174	9284	96821
175	9333	96725
176	9384	96653
177	9435	96581
178	9485	96493
179	9543	96496
180	9597	96447
181	9647	96369
182	9695	96270
183	9746	96191
184	9799	96144
185	9848	96052
186	9899	95979
187	9949	95892
188	9999	95817
189	10048	95724
190	10099	95652
191	10147	95554
192	10199	95495
193	10248	95410
194	10294	95292
195	10345	95218
196	10395	95138
197	10445	95062
198	10494	94976
199	10545	94913
200	10595	94831
201	10644	94745
202	10696	94686
203	10746	94612
204	10799	94558
205	10850	94495
206	10898	94399
207	10947	94320
208	10997	94239
209	11045	94150
210	11095	94076
211	11149	94030
212	11198	93955
213	11250	93892
214	11306	93867
215	11356	93796
216	11406	93721
217	11458	93665
218	11511	93612
219	11563	93558
220	11621	93547
221	11672	93483
222	11723	93420
223	11770	93323
224	11819	93239
225	11873	93198
226	11924	93136
227	11977	93087
228	12028	93026
229	12081	92975
230	12135	92931
231	12182	92835
232	12234	92781
233	12283	92705
234	12331	92613
235	12377	92513
236	12429	92459
237	12477	92374
238	12530	92323
239	12584	92285
240	12636	92227
241	12687	92165
242	12736	92093
243	12787	92027
244	12836	91950
245	12882	91854
246	12928	91758
247	12979	91694
248	13030	91629
249	13079	91558
250	13130	91493
251	13182	91442
252	13231	91366
253	13281	91297
254	13333	91241
255	13384	91179
256	13432	91101
257	13483	91042
258	13535	90986
259	13586	90921
260	13638	90869
261	13687	90798
262	13736	90723
263	13786	90653
264	13837	90594
265	13885	90517
266	13934	90446
267	13983	90370
268	14030	90286
269	14073	90177
270	14124	90113
271	14170	90026
272	14226	89997
273	14274	89919
274	14326	89864
275	14374	89787
276	14428	89748
277	14477	89678
278	14528	89618
279	14580	89567
280	14630	89499
281	14677	89419
282	14731	89376
283	14787	89350
284	14842	89316
285	14894	89260
286	14941	89181
287	14991	89115
288	15042	89060
289	15094	89003
290	15141	88924
291	15195	88881
292	15245	88820
293	15303	88801
294	15356	88752
295	15407	88698
296	15462	88663
297	15520	88643
298	15578	88626
299	15633	88592
300	15695	88593
301	15746	88537
302	15798	88484
303	15854	88451
304	15907	88405
305	15961	88361
306	16009	88286
307	16060	88225
308	16111	88168
309	16161	88106
310	16215	88065
311	16268	88018
312	16321	87970
313	16371	87905
314	16422	87846
315	16474	87793
316	16521	87716
317	16572	87656
318	16625	87608
319	16676	87550
320	16725	87483
321	16773	87411
322	16820	87332
323	16873	87282
324	16917	87188
325	16964	87113
326	17019	87073
327	17126	87301
328	17181	87263
329	17232	87207
330	17281	87139
331	17332	87079
332	17385	87029
333	17435	86969
